t,x,y,z
60.44,-3.99464,-2.70211,24.0546
60.45,-3.87819,-2.83997,23.5291
60.46,-3.78663,-2.99184,23.0201
60.47,-3.71889,-3.15714,22.5281
60.48,-3.67396,-3.33565,22.0537
60.49,-3.65094,-3.52743,21.5973
60.5,-3.64901,-3.73277,21.1596
60.51,-3.66748,-3.95219,20.7414
60.52,-3.70578,-4.18639,20.3436
60.53,-3.76348,-4.43622,19.9671
60.54,-3.84025,-4.70264,19.613
60.55,-3.93591,-4.9867,19.2827
60.56,-4.0504,-5.28949,18.9777
60.57,-4.18377,-5.61217,18.6997
60.58,-4.33615,-5.95583,18.4507
60.59,-4.50779,-6.32154,18.2329
60.6,-4.69901,-6.71025,18.0491
60.61,-4.91017,-7.12275,17.902
60.62,-5.14166,-7.55959,17.7949
60.63,-5.39388,-8.02099,17.7316
60.64,-5.66719,-8.50675,17.7159
60.65,-5.96187,-9.01614,17.7524
60.66,-6.27807,-9.54772,17.8459
60.67,-6.61575,-10.0992,18.0012
60.68,-6.97462,-10.6674,18.2239
60.69,-7.35404,-11.2479,18.5191
60.7,-7.75295,-11.8348,18.8922
60.71,-8.16978,-12.4207,19.3481
60.72,-8.60229,-12.9967,19.8911
60.73,-9.04755,-13.552,20.5241
60.74,-9.50177,-14.074,21.2489
60.75,-9.96027,-14.5485,22.0648
60.76,-10.4174,-14.96,22.9687
60.77,-10.8664,-15.292,23.9539
60.78,-11.2998,-15.528,25.0104
60.79,-11.7091,-15.652,26.1238
60.8,-12.0853,-15.65,27.2757
60.81,-12.4189,-15.511,28.4438
60.82,-12.7006,-15.2281,29.6023
60.83,-12.9216,-14.7999,30.7236
60.84,-13.0739,-14.2308,31.779
60.85,-13.1511,-13.5318,32.7409
60.86,-13.1489,-12.7199,33.5843
60.87,-13.065,-11.817,34.2888
60.88,-12.8998,-10.8494,34.8395
60.89,-12.6563,-9.84501,35.2281
60.9,-12.3397,-8.83213,35.4533
60.91,-11.9576,-7.83738,35.5196
60.92,-11.519,-6.88424,35.4374
60.93,-11.0342,-5.99191,35.2209
60.94,-10.5142,-5.17484,34.8872
60.95,-9.96998,-4.44251,34.4546
60.96,-9.41217,-3.79986,33.9415
60.97,-8.85067,-3.24778,33.3653
60.98,-8.29436,-2.78393,32.7419
60.99,-7.75094,-2.40356,32.0852
61,-7.22681,-2.10024,31.4069
61.01,-6.72713,-1.86658,30.7166
61.02,-6.25582,-1.6948,30.022
61.03,-5.81569,-1.57716,29.3292
61.04,-5.40857,-1.50628,28.6425
61.05,-5.03543,-1.47538,27.9655
61.06,-4.69654,-1.47835,27.3003
61.07,-4.39161,-1.50989,26.6488
61.08,-4.11989,-1.56545,26.012
61.09,-3.88033,-1.64125,25.3906
61.1,-3.67162,-1.73422,24.7853
61.11,-3.49235,-1.84193,24.1962
61.12,-3.34103,-1.96254,23.6235
61.13,-3.21616,-2.09476,23.0674
61.14,-3.11628,-2.23771,22.528
61.15,-3.04,-2.39096,22.0055
61.16,-2.98606,-2.55438,21.4998
61.17,-2.95331,-2.72818,21.0114
61.18,-2.94073,-2.91279,20.5405
61.19,-2.94746,-3.1089,20.0874
61.2,-2.97281,-3.31737,19.6526
61.21,-3.01622,-3.53923,19.2367
61.22,-3.07731,-3.77564,18.8404
61.23,-3.15583,-4.0279,18.4646
61.24,-3.25172,-4.29741,18.1102
61.25,-3.36501,-4.58563,17.7786
61.26,-3.49593,-4.89412,17.4712
61.27,-3.64478,-5.22444,17.1896
61.28,-3.81203,-5.57819,16.936
61.29,-3.99822,-5.95692,16.7125
61.3,-4.204,-6.36213,16.5219
61.31,-4.43009,-6.79518,16.3674
61.32,-4.67728,-7.25725,16.2523
61.33,-4.94635,-7.74921,16.1809
61.34,-5.23811,-8.27158,16.1576
61.35,-5.55328,-8.82431,16.1875
61.36,-5.8925,-9.40669,16.2763
61.37,-6.25624,-10.0171,16.4301
61.38,-6.6447,-10.6529,16.6557
61.39,-7.05777,-11.3101,16.9599
61.4,-7.49488,-11.9829,17.35
61.41,-7.95489,-12.664,17.8331
61.42,-8.43595,-13.3436,18.4158
61.43,-8.93535,-14.0097,19.104
61.44,-9.4494,-14.6479,19.9017
61.45,-9.97323,-15.2412,20.811
61.46,-10.5007,-15.7703,21.8309
61.47,-11.0244,-16.2141,22.9563
61.48,-11.5355,-16.5506,24.1774
61.49,-12.0239,-16.7578,25.4792
61.5,-12.4784,-16.8153,26.8404
61.51,-12.8872,-16.706,28.2344
61.52,-13.2381,-16.4178,29.629
61.53,-13.5193,-15.9459,30.9886
61.54,-13.7201,-15.2934,32.2752
61.55,-13.8314,-14.4725,33.4517
61.56,-13.8466,-13.5043,34.4841
61.57,-13.7623,-12.4175,35.3441
61.58,-13.5782,-11.2468,36.0116
61.59,-13.2977,-10.0297,36.4757
61.6,-12.9273,-8.80447,36.7348
61.61,-12.4767,-7.60648,36.7967
61.62,-11.9575,-6.46656,36.6765
61.63,-11.3831,-5.40919,36.3947
61.64,-10.7675,-4.45187,35.9752
